participant,task,example_num,strategy,correct,validation
S1,A,1,T&E,0,prompted
S1,A,2,T&E,0,unprompted
S1,A,3,TRP,1,
S1,B,1,TRP,0,unprompted
S1,B,2,TRP,0,unprompted
S1,B,3,TRP,1,
S1,D,1,DA,0,prompted
S1,D,2,TRP,0,unprompted
S1,D,3,TRP,1,
S2,B,1,TRP,0,prompted
S2,B,2,TRP,1,
S2,C,1,TRP,0,unprompted
S2,C,2,TRP,1,
S2,D,1,T&E,0,prompted
S2,D,2,TRP,1,
S4,A,1,T&E,0,prompted
S4,A,2,T&E,0,prompted
S4,A,3,TRP,1,
S4,B,1,TRP,0,prompted
S4,B,2,TRP,0,
S4,D,1,T&E,0,unprompted
S4,D,2,T&E,0,unprompted
S4,D,3,T&E,0,
S5,C,1,TR,0,prompted
S5,C,2,T&E,0,prompted
S5,C,3,TRP,0,unprompted
S5,C,4,TRP,1,
S6,A,1,T&E,0,prompted
S6,A,2,TRP,0,prompted
S6,A,3,TRP,1,
S6,D,1,T&E,0,unprompted
S6,D,2,TRP,0,
S7,A,1,T&E,0,prompted
S7,A,2,T&E,0,prompted
S7,A,3,T&E,0,
S7,C,1,T&E,0,prompted
S7,C,2,T&E,0,prompted
S7,C,3,T&E,0,prompted
S7,C,4,T&E,1,
S7,D,1,T&E,0,prompted
S7,D,2,TRP,0,prompted
S7,D,3,TRP,0,
S8,B,1,T&E,1,unprompted
S8,B,2,T&E,0,
S9,C,1,T&E,0,prompted
S9,C,2,TRP,1,
S9,D,1,DA,0,prompted
S9,D,2,TRP,1,
P2,A,1,T&E,0,prompted
P2,A,2,TRP,0,
P2,C,1,DA,0,prompted
P2,C,2,TR,1,
P2,D,1,TRP,0,prompted
P2,D,2,DA,1,
P3,B,1,T&E,1,unprompted
P3,B,2,TRP,0,prompted
P3,B,3,TRP,1,
P3,D,1,DA,0,unprompted
P3,D,2,TR,0,
P4,B,1,TR,0,unprompted
P4,B,2,DA,1,
P4,C,1,T&E,0,prompted
P4,C,2,T&E,0,prompted
P4,C,3,TRP,1,
P5,B,1,DA,0,prompted
P5,B,2,T&E,1,
P5,D,1,DA,0,unprompted
P5,D,2,TRP,1,
P7,B,1,DA,0,unprompted
P7,B,2,DA,0,
P8,A,1,T&E,0,prompted
P8,A,2,TRP,1,
P8,C,1,DA,0,unprompted
P8,C,2,DA,1,
P8,D,1,DA,0,unprompted
P8,D,2,TRP,1,
P10,B,1,T&E,0,unprompted
P10,B,2,T&E,0,unprompted
P10,B,3,T&E,0,unprompted
P10,B,4,DA,0,unprompted
P10,B,5,T&E,0,
